company_name,company_description,distance_score,industry
"024 Pharma, Inc.",pharma inc provides healthcare products worldwide products include vitamin mineral supplements stress release joint heart health weightloss products skin care hair antiaging products company formerly known b green innovations inc changed name pharma inc october pharma inc incorporated based west palm beach florida,0.64271814,Beauty Care Products 
"22nd Century Group, Inc.",nd century group inc plant biotechnology company provides technology allows increasing decreasing level nicotine nicotinic alkaloids tobacco plants cannabinoids hempcannabis plants genetic engineering plant breeding offers premium cigarettes red sun magic brands spectrum line research cigarettes use independent clinical studies companys products development include brand low nicotine cigarette x tobaccobased botanical medical product use aid smoking cessation brand b lowtartonicotine ratio cigarette addition engages contract manufacturing business thirdparty branded tobacco products company scientific collaborations university virginia anandia laboratories inc develop proprietary hemp strains less dry weight content deltatetrahydrocannabinol nd century group inc founded headquartered williamsville new york,1.3611393,Cigarettes 
"20/20 Global, Inc.",rm investors inc supplies fruits vegetables north america specializes apples onions potatoes seasonal vegetables consolidated citrus produce transportation solutions company formerly known produce sales inc changed name rm investors inc march company founded based heyburn idaho,1.3891103,Consumer Staples 
"1PM Industries, Inc.",pm industries inc provides consulting services companies various industries transform private company public company company incorporated based beverly hills california,1.4110645,Commercial and Professional Services 
1st Prestige Wealth Management,st prestige wealth management provides wealth management products services united states also provides insurance managed funds financial planning services company formerly known power technology inc changed name st prestige wealth management july st prestige wealth management based henderson nevada,1.4310033,Asset Management and Custody Banks 
24Holdings Inc.,holdings inc significant operations company intends seek investigate consummate merger business combination purchase assets strategic transaction corporation partnership limited liability company operating business entity prior september involved supplying computer electronic products business customers company founded based florham park new jersey,1.4877361,Computer and Computer Software Stores 
1st Source Corporation,st source corporation operates bank holding company st source bank provides commercial consumer banking services trust investment management services insurance individual business clients consumer banking services include checking savings accounts certificates deposit individual retirement accounts online mobile banking products consumer loans real estate loans lines credit financial planning financial literacy consultative services well debit credit cards company also offers commercial small business agricultural real estate loans general corporate purposes including financing industrial commercial properties equipment inventories accounts receivables acquisition financing commercial leasing treasury management retirement planning services addition provides range trust investment agency custodial services comprising administration estates personal trusts well management investment accounts individuals employee benefit plans charitable foundations company offers equipment loan lease products new used aircraft auto light trucks construction equipment medium heavy duty trucks leases construction equipment various types trucks vans automobiles motor coaches shuttle buses equipment additionally provides corporate personal property casualty individual group health life insurance products services investment advisory services trust investment clients december company operated banking centers counties indiana michigan sarasota county florida st source corporation founded headquartered south bend indiana,1.4961711,Banks 
"1347 Property Insurance Holdings, Inc.",property insurance holdings inc subsidiaries provides property casualty insurance products individuals louisiana florida texas company offers homeowners insurance manufactured home insurance dwelling fire insurance windhail insurance products well reinsurance products offers insurance policies network independent agents company formerly known maison insurance holdings inc changed name property insurance holdings inc march property insurance holdings inc founded based tampa florida,1.5076106,Casualty 
1867 Western Financial Corporation,western financial corporation subsidiaries offers personal business banking services company founded headquartered stockton california,1.5229568,Banks 
1st NRG Corp.,st nrg corp explores develops produces sells natural gas properties united states company holds interests clabaugh ranch property comprising producing wells permitted location undeveloped acres located powder river basin northeast wyoming also holds interests shale plays covering approximately acres situated ohio company founded headquartered denver colorado,1.5253131,Energy 
